fecha_hora,id_sesion,tipo_sesion,ear,mar,estado_cabeza,mirando_abajo,parpadeos_total,parpadeos_por_minuto,cabeceos_total,cabeza_abajo_sostenida,bostezos,microsuenos,perclos
2026-05-07 18:17:58.794,20260507_181554,normal,0.2797,0.0,frente,0,3,2,0,0,0,0,0.0
2026-05-07 18:17:59.337,20260507_181554,normal,0.2706,0.0,frente,0,3,2,0,0,0,0,0.0
2026-05-07 18:17:59.862,20260507_181554,normal,0.2612,0.0,frente,0,3,2,0,0,0,0,0.0
2026-05-07 18:18:00.391,20260507_181554,normal,0.2615,0.0,frente,0,3,2,0,0,0,0,0.0
2026-05-07 18:18:00.918,20260507_181554,normal,0.2706,0.0175,frente,0,3,2,0,0,0,0,0.0
2026-05-07 18:18:01.429,20260507_181554,normal,0.2668,0.0182,frente,0,3,2,0,0,0,0,0.0
2026-05-07 18:18:01.956,20260507_181554,normal,0.2409,0.0175,frente,0,4,3,0,0,0,0,0.0333
2026-05-07 18:18:02.483,20260507_181554,normal,0.2595,0.0182,frente,0,4,3,0,0,0,0,0.0333
2026-05-07 18:18:02.994,20260507_181554,normal,0.2629,0.0,frente,0,4,3,0,0,0,0,0.0333
2026-05-07 18:18:03.494,20260507_181554,normal,0.2669,0.0,frente,0,4,3,0,0,0,0,0.0333
2026-05-07 18:18:04.018,20260507_181554,normal,0.2736,0.0,frente,0,4,3,0,0,0,0,0.0333
2026-05-07 18:18:04.528,20260507_181554,normal,0.2648,0.0,frente,0,4,3,0,0,0,0,0.0333
